Number of parameters: 990
Epoch 28: Loss = 0.487362, accuracy = 82.2000 %
Epoch 29: Loss = 0.486316, accuracy = 82.1000 %
Epoch 30: Loss = 0.483052, accuracy = 82.1000 %
Epoch 31: Loss = 0.482672, accuracy = 82.1500 %
Epoch 32: Loss = 0.482695, accuracy = 82.0000 %
Epoch 33: Loss = 0.481101, accuracy = 82.1500 %
Epoch 34: Loss = 0.481153, accuracy = 81.9000 %
Epoch 35: Loss = 0.479555, accuracy = 82.2500 %
Epoch 36: Loss = 0.478537, accuracy = 82.1500 %
Epoch 37: Loss = 0.477587, accuracy = 82.2500 %
Epoch 38: Loss = 0.477148, accuracy = 82.1500 %
Epoch 39: Loss = 0.476993, accuracy = 82.3500 %


Number of parameters: 990
Epoch 0: Loss = 1.296215, accuracy = 51.1500 %
Epoch 1: Loss = 0.841122, accuracy = 68.5500 %
Epoch 2: Loss = 0.743690, accuracy = 71.9500 %
Epoch 3: Loss = 0.698937, accuracy = 74.3000 %
Epoch 4: Loss = 0.663887, accuracy = 74.8500 %
Epoch 5: Loss = 0.625025, accuracy = 77.0500 %
Epoch 6: Loss = 0.604567, accuracy = 78.0000 %
Epoch 7: Loss = 0.604085, accuracy = 77.3000 %
Epoch 8: Loss = 0.590420, accuracy = 78.5000 %
Epoch 9: Loss = 0.571223, accuracy = 78.5500 %
Epoch 10: Loss = 0.558296, accuracy = 79.0500 %
Epoch 11: Loss = 0.551071, accuracy = 79.5500 %
Epoch 12: Loss = 0.548115, accuracy = 79.9500 %
Epoch 13: Loss = 0.542363, accuracy = 79.6000 %
Epoch 14: Loss = 0.527218, accuracy = 80.4500 %
Epoch 15: Loss = 0.527298, accuracy = 80.0500 %
Epoch 16: Loss = 0.516265, accuracy = 80.7000 %
Epoch 17: Loss = 0.514448, accuracy = 81.4000 %
Epoch 18: Loss = 0.514144, accuracy = 81.1000 %
Epoch 19: Loss = 0.505851, accuracy = 81.2500 %
Epoch 20: Loss = 0.503826, accuracy = 81.4000 %
Epoch 21: Loss = 0.497517, accuracy = 81.9500 %
Epoch 22: Loss = 0.492298, accuracy = 82.1000 %
Epoch 23: Loss = 0.490745, accuracy = 82.0500 %
Epoch 24: Loss = 0.490832, accuracy = 82.1500 %
Epoch 25: Loss = 0.488483, accuracy = 81.9500 %
Epoch 26: Loss = 0.484847, accuracy = 82.2500 %
Epoch 27: Loss = 0.484979, accuracy = 82.0500 %
Epoch 28: Loss = 0.480878, accuracy = 82.4500 %
Epoch 29: Loss = 0.479412, accuracy = 82.4500 %
Epoch 30: Loss = 0.479192, accuracy = 83.0000 %
Epoch 31: Loss = 0.478005, accuracy = 82.5000 %
Epoch 32: Loss = 0.476807, accuracy = 82.7500 %
Epoch 33: Loss = 0.474997, accuracy = 82.8000 %
Epoch 34: Loss = 0.474203, accuracy = 82.8500 %
Epoch 35: Loss = 0.473565, accuracy = 82.7000 %
Epoch 36: Loss = 0.472564, accuracy = 83.0500 %
